,Date,Open,High,Low,Close,Volume
0,2011-05-12,0,20.0,-10.0,0.0,0.0
1,2011-05-13,-10,10.0,-20.0,-5.0,1026.0
2,2011-05-16,30,0.0,-70.0,-70.0,-618.0
3,2011-05-17,0,15.0,-35.0,15.0,-474.0
4,2011-05-18,-20,50.0,0.0,45.0,-719.0
5,2011-05-19,-10,40.0,0.0,40.0,2530.0
6,2011-05-20,-15,30.0,0.0,25.0,-2748.0
7,2011-05-23,0,0.0,-55.0,-55.0,331.0
8,2011-05-24,-35,10.0,-20.0,0.0,1300.0
9,2011-05-25,25,0.0,-30.0,-30.0,-1444.0
10,2011-05-26,10,65.0,0.0,65.0,-169.0
11,2011-05-27,-20,30.0,0.0,30.0,-22.0
12,2011-05-30,-15,15.0,-5.0,15.0,124.0
13,2011-05-31,-10,25.0,0.0,25.0,-177.0
14,2011-06-01,60,0.0,-25.0,-20.0,104.0
15,2011-06-02,-5,0.0,-65.0,-35.0,1126.0
16,2011-06-03,-15,25.0,0.0,25.0,-1176.0
17,2011-06-06,-10,0.0,-25.0,-5.0,351.0
18,2011-06-07,-10,0.0,-30.0,-10.0,-198.0
19,2011-06-08,15,0.0,-35.0,-30.0,-141.0
20,2011-06-09,-15,0.0,-10.0,0.0,91.0
21,2011-06-10,30,0.0,-15.0,-10.0,975.0
22,2011-06-13,-5,0.0,-35.0,-35.0,-370.0
23,2011-06-14,-20,25.0,-15.0,25.0,-618.0
24,2011-06-15,15,15.0,-15.0,15.0,-9.0
25,2011-06-16,-25,45.0,0.0,5.0,1035.0
26,2011-06-17,0,0.0,-10.0,-10.0,-901.0
27,2011-06-20,35,0.0,-25.0,-20.0,-228.0
28,2011-06-21,5,10.0,-15.0,-5.0,126.0
29,2011-06-22,15,30.0,0.0,5.0,-134.0
30,2011-06-23,10,15.0,0.0,15.0,71.0
31,2011-06-24,10,0.0,-25.0,-25.0,-102.0
32,2011-06-27,10,0.0,-10.0,-10.0,9.0
33,2011-06-28,-5,25.0,0.0,25.0,252.0
34,2011-06-29,20,35.0,0.0,0.0,-170.0
35,2011-06-30,20,5.0,0.0,5.0,-104.0
36,2011-07-01,0,45.0,-5.0,45.0,131.0
37,2011-07-04,30,20.0,-15.0,5.0,-11.0
38,2011-07-05,-10,5.0,-25.0,0.0,211.0
39,2011-07-06,-10,20.0,-10.0,20.0,797.0
40,2011-07-07,-5,20.0,0.0,15.0,-883.0
41,2011-07-08,10,20.0,-5.0,-5.0,-32.0
42,2011-07-11,-20,0.0,-10.0,-10.0,-31.0
43,2011-07-12,-55,0.0,-55.0,-55.0,688.0
44,2011-07-13,-35,35.0,0.0,25.0,-621.0
45,2011-07-14,-20,15.0,-5.0,-5.0,719.0
46,2011-07-15,45,0.0,-15.0,-15.0,-891.0
47,2011-07-19,-40,0.0,-20.0,-20.0,1290.0
48,2011-07-20,40,10.0,-15.0,-5.0,-593.0
49,2011-07-21,-5,0.0,-20.0,-15.0,-253.0
50,2011-07-22,10,0.0,-10.0,-10.0,-510.0
51,2011-07-25,10,20.0,-10.0,-5.0,186.0
52,2011-07-26,-5,15.0,-10.0,10.0,208.0
53,2011-07-27,15,0.0,-15.0,0.0,-287.0
54,2011-07-28,-10,0.0,-50.0,-50.0,1017.0
55,2011-07-29,0,15.0,-25.0,-20.0,-388.0
56,2011-08-01,0,90.0,-5.0,90.0,-396.0
57,2011-08-02,-25,0.0,-40.0,-35.0,-236.0
58,2011-08-03,-25,0.0,-65.0,-60.0,667.0
59,2011-08-04,25,100.0,0.0,100.0,-607.0
60,2011-08-05,-45,0.0,-115.0,-105.0,1198.0
61,2011-08-08,-15,20.0,-150.0,-150.0,356.0
62,2011-08-09,-15,5.0,-150.0,-70.0,2780.0
63,2011-08-10,20,70.0,-10.0,40.0,-3183.0
64,2011-08-11,-10,0.0,-75.0,-35.0,-1068.0
65,2011-08-12,60,15.0,-25.0,-25.0,-2.0
