,Date,Open,High,Low,Close,Volume
0,2000-01-04,0,65.0,-1.0,63.0,0.0
1,2000-01-05,-6,6.0,-42.0,5.0,257100.0
2,2000-01-06,-33,0.0,-44.0,-44.0,-95800.0
3,2000-01-07,0,65.0,0.0,38.0,364100.0
4,2000-01-11,-8,4.0,-25.0,-25.0,-363700.0
5,2000-01-12,0,24.0,-4.0,0.0,-68800.0
6,2000-01-13,0,13.0,0.0,10.0,-134300.0
7,2000-01-14,-5,19.0,-10.0,-3.0,207100.0
8,2000-01-17,3,18.0,-3.0,12.0,-195800.0
9,2000-01-18,8,8.0,-24.0,-24.0,42900.0
10,2000-01-19,-1,20.0,-5.0,8.0,35400.0
11,2000-01-20,10,2.0,-17.0,-5.0,130100.0
12,2000-01-21,2,2.0,-20.0,-15.0,-147300.0
13,2000-01-24,0,35.0,0.0,30.0,74600.0
14,2000-01-25,-30,14.0,-5.0,-5.0,203500.0
15,2000-01-26,10,40.0,-8.0,40.0,-336500.0
16,2000-01-27,-10,4.0,-30.0,-10.0,-14000.0
17,2000-01-28,-29,29.0,-2.0,27.0,329600.0
18,2000-01-31,-28,30.0,0.0,5.0,-225400.0
19,2000-02-01,25,0.0,-20.0,-13.0,-5400.0
20,2000-02-02,4,9.0,-3.0,0.0,1500.0
21,2000-02-03,0,8.0,-6.0,-6.0,-186700.0
22,2000-02-04,4,11.0,-16.0,-16.0,169700.0
23,2000-02-07,-3,20.0,0.0,8.0,-35300.0
24,2000-02-08,-8,0.0,-40.0,-21.0,299400.0
25,2000-02-09,-19,10.0,-25.0,9.0,-113600.0
26,2000-02-10,-20,21.0,-40.0,-30.0,341700.0
27,2000-02-14,0,11.0,-39.0,-39.0,-26400.0
28,2000-02-15,-1,1.0,-49.0,-48.0,-192000.0
29,2000-02-16,-1,15.0,0.0,5.0,125600.0
30,2000-02-17,0,40.0,0.0,5.0,-408200.0
31,2000-02-18,30,9.0,-20.0,-20.0,41300.0
32,2000-02-21,-14,34.0,-6.0,-6.0,93200.0
33,2000-02-22,0,30.0,0.0,0.0,23800.0
34,2000-02-23,25,35.0,-10.0,35.0,-73500.0
35,2000-02-24,-10,70.0,-3.0,50.0,-117400.0
36,2000-02-25,30,0.0,-69.0,-25.0,-58700.0
37,2000-02-28,-20,15.0,-10.0,5.0,16400.0
38,2000-02-29,-30,45.0,0.0,1.0,-54400.0
39,2000-03-01,30,9.0,-41.0,-27.0,257600.0
40,2000-03-02,-30,6.0,-14.0,-14.0,178800.0
41,2000-03-03,1,29.0,0.0,0.0,-387800.0
42,2000-03-06,31,12.0,-21.0,-20.0,229800.0
43,2000-03-07,18,50.0,-1.0,50.0,-104500.0
44,2000-03-08,10,16.0,-40.0,-1.0,-53000.0
45,2000-03-09,0,1.0,-29.0,1.0,-123300.0
46,2000-03-10,-9,29.0,-21.0,29.0,1004100.0
47,2000-03-13,-30,20.0,-13.0,0.0,-875700.0
48,2000-03-14,0,20.0,-15.0,10.0,11500.0
49,2000-03-15,-10,10.0,-20.0,10.0,-53400.0
50,2000-03-16,0,1.0,-30.0,1.0,-17200.0
51,2000-03-17,6,13.0,-17.0,13.0,211600.0
52,2000-03-21,-30,30.0,0.0,15.0,-185000.0
53,2000-03-22,-15,5.0,-49.0,-40.0,290300.0
54,2000-03-23,30,10.0,-30.0,-20.0,128000.0
55,2000-03-24,40,20.0,-29.0,-11.0,-381700.0
56,2000-03-27,31,0.0,-39.0,-31.0,293400.0
57,2000-03-28,-49,12.0,-50.0,0.0,-187000.0
58,2000-03-29,0,36.0,-5.0,13.0,-17200.0
59,2000-03-30,11,21.0,-74.0,-74.0,-55700.0
60,2000-03-31,120,8.0,-27.0,-25.0,139100.0
61,2000-04-03,-50,50.0,0.0,24.0,-182600.0
62,2000-04-04,31,10.0,-40.0,-36.0,2600.0
63,2000-04-05,56,40.0,-10.0,20.0,706300.0
64,2000-04-06,10,0.0,-39.0,-21.0,-687200.0
65,2000-04-07,-19,10.0,-70.0,-70.0,203000.0
66,2000-04-10,0,20.0,-2.0,0.0,-147800.0
67,2000-04-11,0,32.0,-1.0,3.0,-153100.0
68,2000-04-12,-8,25.0,-5.0,15.0,235000.0
69,2000-04-13,0,50.0,-33.0,50.0,500.0
70,2000-04-14,-5,32.0,-15.0,10.0,213900.0
71,2000-04-17,-15,80.0,-15.0,80.0,-3300.0
72,2000-04-18,-2,47.0,-48.0,47.0,-5400.0
73,2000-04-19,-15,0.0,-60.0,-37.0,-422000.0
74,2000-04-20,30,14.0,-43.0,7.0,180900.0
75,2000-04-21,0,5.0,-120.0,-90.0,38000.0
76,2000-04-24,30,30.0,-18.0,11.0,-210200.0
77,2000-04-25,0,53.0,0.0,52.0,161800.0
78,2000-04-26,0,27.0,-8.0,27.0,35300.0
79,2000-04-27,19,41.0,-14.0,31.0,529500.0
80,2000-04-28,1,2.0,-20.0,-1.0,90700.0
81,2000-05-01,0,40.0,0.0,40.0,-550000.0
82,2000-05-02,0,15.0,-35.0,-32.0,-166900.0
83,2000-05-08,12,14.0,-10.0,14.0,-63700.0
84,2000-05-09,-4,88.0,0.0,60.0,964100.0
85,2000-05-10,6,59.0,-1.0,54.0,846700.0
86,2000-05-11,20,8.0,-20.0,-5.0,12900.0
87,2000-05-12,0,0.0,-50.0,-12.0,-1092300.0
88,2000-05-15,-2,0.0,-28.0,-12.0,-394700.0
