,Date,Open,High,Low,Close,Volume
0,2000-01-04,0,0.0,-32.0,-30.0,0.0
1,2000-01-05,-2,13.0,0.0,3.0,875000.0
2,2000-01-06,2,45.0,0.0,16.0,899000.0
3,2000-01-07,10,29.0,-11.0,-2.0,1904000.0
4,2000-01-11,-19,40.0,-8.0,39.0,-1153000.0
5,2000-01-12,10,39.0,-19.0,0.0,1763000.0
6,2000-01-13,50,50.0,-6.0,50.0,2826000.0
7,2000-01-14,30,13.0,-32.0,-29.0,4881000.0
8,2000-01-17,20,0.0,-50.0,-40.0,-10858000.0
9,2000-01-18,8,31.0,-38.0,22.0,2758000.0
10,2000-01-19,10,8.0,-24.0,8.0,-1984000.0
11,2000-01-20,10,30.0,-13.0,17.0,969000.0
12,2000-01-21,0,13.0,-20.0,5.0,-836000.0
13,2000-01-24,8,62.0,-3.0,32.0,2701000.0
14,2000-01-25,-20,10.0,-35.0,0.0,-2958000.0
15,2000-01-26,0,0.0,-40.0,-40.0,-741000.0
16,2000-01-27,-30,9.0,-30.0,-20.0,1143000.0
17,2000-01-28,-10,30.0,-6.0,21.0,-834000.0
18,2000-01-31,-20,18.0,-3.0,-3.0,-340000.0
19,2000-02-01,10,26.0,-16.0,0.0,882000.0
20,2000-02-02,50,37.0,-20.0,19.0,2484000.0
21,2000-02-03,30,43.0,-6.0,13.0,3136000.0
22,2000-02-04,0,10.0,-30.0,-10.0,-5744000.0
23,2000-02-07,-20,8.0,-16.0,-2.0,-1122000.0
24,2000-02-08,-28,47.0,-15.0,1.0,1258000.0
25,2000-02-09,-6,10.0,-15.0,-15.0,-512000.0
26,2000-02-10,-10,4.0,-29.0,-20.0,-319000.0
27,2000-02-14,-10,22.0,-5.0,11.0,-533000.0
28,2000-02-15,7,2.0,-78.0,-55.0,714000.0
29,2000-02-16,-12,1.0,-30.0,-11.0,-639000.0
30,2000-02-17,0,29.0,-9.0,-8.0,-103000.0
31,2000-02-18,-2,20.0,-9.0,13.0,1027000.0
32,2000-02-21,-3,4.0,-12.0,-8.0,-1088000.0
33,2000-02-22,23,32.0,-20.0,-20.0,-180000.0
34,2000-02-23,43,0.0,-68.0,-39.0,720000.0
35,2000-02-24,3,8.0,-15.0,-15.0,-973000.0
36,2000-02-25,-14,10.0,-12.0,-6.0,2295000.0
37,2000-02-28,20,3.0,-32.0,-27.0,145000.0
38,2000-02-29,-5,15.0,-14.0,0.0,734000.0
39,2000-03-01,20,10.0,-9.0,5.0,-2558000.0
40,2000-03-02,5,1.0,-23.0,-20.0,153000.0
41,2000-03-03,-5,1.0,-20.0,-20.0,27000.0
42,2000-03-06,-9,14.0,-60.0,-46.0,1771000.0
43,2000-03-07,5,18.0,-5.0,2.0,24000.0
44,2000-03-08,-1,10.0,-10.0,7.0,-1092000.0
45,2000-03-09,-10,8.0,-30.0,-30.0,1307000.0
46,2000-03-10,0,41.0,0.0,41.0,-834000.0
47,2000-03-13,-9,18.0,-18.0,-5.0,-327000.0
48,2000-03-14,-15,24.0,0.0,18.0,242000.0
49,2000-03-15,-11,3.0,-16.0,-7.0,-1290000.0
50,2000-03-16,2,3.0,-7.0,-3.0,-413000.0
51,2000-03-17,11,8.0,-24.0,-18.0,1278000.0
52,2000-03-21,5,12.0,-2.0,7.0,-849000.0
53,2000-03-22,-4,20.0,-1.0,20.0,345000.0
54,2000-03-23,9,10.0,-11.0,1.0,655000.0
55,2000-03-24,0,0.0,-25.0,-8.0,-1130000.0
56,2000-03-27,9,2.0,-6.0,0.0,180000.0
57,2000-03-28,4,35.0,-2.0,30.0,859000.0
58,2000-03-29,20,27.0,-2.0,18.0,598000.0
59,2000-03-30,-3,0.0,-40.0,-33.0,-1504000.0
60,2000-03-31,20,1.0,-57.0,-52.0,-203000.0
61,2000-04-03,-10,52.0,0.0,33.0,-378000.0
62,2000-04-04,-8,11.0,-5.0,10.0,1399000.0
63,2000-04-05,5,25.0,-24.0,11.0,-837000.0
64,2000-04-06,14,0.0,-25.0,-13.0,-40000.0
65,2000-04-07,0,8.0,-42.0,-34.0,827000.0
66,2000-04-10,-7,4.0,-16.0,-15.0,-180000.0
67,2000-04-11,-2,0.0,-14.0,-4.0,59000.0
68,2000-04-12,-5,0.0,-20.0,-12.0,1824000.0
69,2000-04-13,10,50.0,-8.0,50.0,270000.0
70,2000-04-14,-2,69.0,-4.0,19.0,1366000.0
71,2000-04-17,30,13.0,-23.0,13.0,4001000.0
72,2000-04-18,40,30.0,-13.0,19.0,-3934000.0
73,2000-04-19,11,9.0,-33.0,-8.0,-1887000.0
74,2000-04-20,-10,5.0,-12.0,-5.0,321000.0
75,2000-04-21,-6,20.0,-60.0,-54.0,2629000.0
76,2000-04-24,-5,70.0,0.0,54.0,-3775000.0
77,2000-04-25,-4,0.0,-41.0,-24.0,-758000.0
78,2000-04-26,0,4.0,-6.0,-3.0,-396000.0
79,2000-04-27,-20,7.0,-3.0,-3.0,500000.0
80,2000-04-28,-4,3.0,-5.0,-1.0,82000.0
81,2000-05-01,-11,0.0,-9.0,-7.0,-1199000.0
82,2000-05-02,40,19.0,-7.0,17.0,91000.0
83,2000-05-08,30,0.0,-26.0,-16.0,-228000.0
84,2000-05-09,0,7.0,-22.0,-18.0,-85000.0
85,2000-05-10,7,1.0,-23.0,-7.0,-121000.0
86,2000-05-11,-10,33.0,-5.0,11.0,1657000.0
87,2000-05-12,20,37.0,-3.0,37.0,2151000.0
88,2000-05-15,4,7.0,-11.0,-7.0,-2906000.0
89,2000-05-16,-25,2.0,-7.0,-7.0,-528000.0
90,2000-05-17,20,3.0,-23.0,-23.0,257000.0
91,2000-05-18,0,5.0,-25.0,-8.0,-368000.0
92,2000-05-19,10,18.0,-10.0,8.0,576000.0
93,2000-05-22,-20,16.0,-30.0,14.0,-607000.0
94,2000-05-23,10,17.0,-10.0,15.0,865000.0
95,2000-05-24,0,5.0,-11.0,4.0,-438000.0
96,2000-05-25,2,3.0,-20.0,0.0,49000.0
97,2000-05-26,5,15.0,-12.0,10.0,1150000.0
98,2000-05-29,0,0.0,-50.0,-40.0,-1666000.0
99,2000-05-30,5,10.0,-15.0,-15.0,742000.0
100,2000-05-31,1,3.0,-26.0,-26.0,-340000.0
101,2000-06-01,3,22.0,0.0,13.0,-189000.0
102,2000-06-02,-7,1.0,-29.0,-25.0,714000.0
103,2000-06-05,1,20.0,-25.0,-21.0,493000.0
104,2000-06-06,2,25.0,-6.0,-4.0,-515000.0
105,2000-06-07,30,41.0,0.0,33.0,108000.0
106,2000-06-08,10,0.0,-42.0,-36.0,-892000.0
107,2000-06-09,-4,40.0,0.0,39.0,1534000.0
108,2000-06-12,-1,0.0,-18.0,-7.0,-2068000.0
109,2000-06-13,-10,22.0,0.0,22.0,1962000.0
110,2000-06-14,5,22.0,-4.0,22.0,118000.0
111,2000-06-15,-25,0.0,-50.0,-49.0,-1181000.0
112,2000-06-16,40,14.0,-7.0,11.0,-130000.0
113,2000-06-19,0,19.0,-27.0,-27.0,-94000.0
114,2000-06-20,30,0.0,-35.0,-30.0,-23000.0
115,2000-06-21,20,28.0,-2.0,14.0,674000.0
116,2000-06-22,10,8.0,-10.0,-10.0,-315000.0
117,2000-06-23,16,15.0,-23.0,-5.0,2297000.0
118,2000-06-26,4,5.0,-6.0,-2.0,-3068000.0
119,2000-06-27,9,12.0,-4.0,6.0,1461000.0
120,2000-06-28,6,31.0,-13.0,18.0,335000.0
121,2000-06-29,-5,14.0,-11.0,-4.0,609000.0
122,2000-06-30,7,23.0,-14.0,7.0,151000.0
123,2000-07-03,-10,14.0,-1.0,14.0,-2165000.0
124,2000-07-04,4,0.0,-19.0,-19.0,-504000.0
125,2000-07-05,0,0.0,-40.0,-21.0,324000.0
126,2000-07-06,0,31.0,0.0,31.0,-263000.0
127,2000-07-07,10,24.0,-1.0,15.0,2752000.0
128,2000-07-10,10,4.0,-15.0,-15.0,-1739000.0
129,2000-07-11,10,0.0,-30.0,-25.0,-869000.0
130,2000-07-12,20,2.0,-35.0,-2.0,932000.0
131,2000-07-13,-30,1.0,-38.0,-38.0,-48000.0
132,2000-07-14,-10,9.0,-12.0,2.0,-79000.0
133,2000-07-17,-20,33.0,-2.0,2.0,-219000.0
134,2000-07-18,-10,10.0,-44.0,-25.0,1436000.0
135,2000-07-19,-10,15.0,-7.0,10.0,-1677000.0
136,2000-07-21,-9,9.0,-5.0,-3.0,-643000.0
137,2000-07-24,-7,9.0,-11.0,-4.0,747000.0
138,2000-07-25,-1,65.0,-1.0,64.0,986000.0
139,2000-07-26,-7,0.0,-42.0,-32.0,-1163000.0
140,2000-07-27,-10,5.0,-9.0,-5.0,1021000.0
141,2000-07-28,20,15.0,-7.0,7.0,-360000.0
142,2000-07-31,-10,23.0,-5.0,3.0,-740000.0
143,2000-08-01,18,0.0,-33.0,-22.0,-216000.0
144,2000-08-02,-6,20.0,-4.0,19.0,-287000.0
145,2000-08-03,-2,0.0,-26.0,-11.0,130000.0
146,2000-08-04,-8,52.0,0.0,37.0,736000.0
147,2000-08-07,-10,12.0,-90.0,-19.0,1288000.0
148,2000-08-08,10,0.0,-26.0,-3.0,-1376000.0
