,Date,Open,High,Low,Close,Volume
0,2014-08-26,0,10.0,-120.0,-120.0,0.0
1,2014-08-27,50,40.0,-110.0,-20.0,243.0
2,2014-08-28,-60,0.0,-90.0,-50.0,-509.0
3,2014-08-29,-50,40.0,-80.0,10.0,15986.0
4,2014-09-01,40,30.0,-10.0,0.0,-17008.0
5,2014-09-02,100,250.0,-30.0,170.0,5504.0
6,2014-09-03,160,40.0,-110.0,-110.0,-4698.0
7,2014-09-04,0,20.0,-70.0,-50.0,4452.0
8,2014-09-05,150,0.0,-200.0,-150.0,5254.0
9,2014-09-08,60,0.0,-90.0,-40.0,-13253.0
10,2014-09-09,100,10.0,-70.0,-50.0,243.0
11,2014-09-10,-100,160.0,-20.0,140.0,6444.0
12,2014-09-11,160,20.0,-60.0,-10.0,-5773.0
13,2014-09-12,110,370.0,-210.0,-80.0,474.0
14,2014-09-16,10,0.0,-70.0,0.0,-2103.0
15,2014-09-17,40,10.0,-80.0,-80.0,336.0
16,2014-09-18,150,130.0,-30.0,100.0,816.0
17,2014-09-19,150,240.0,-10.0,160.0,328.0
18,2014-09-22,-50,0.0,-340.0,-110.0,654.0
19,2014-09-24,-70,80.0,-70.0,20.0,-2075.0
20,2014-09-25,270,0.0,-80.0,-20.0,1920.0
21,2014-09-26,-160,150.0,-20.0,120.0,512.0
22,2014-09-29,150,0.0,-90.0,-50.0,-1025.0
23,2014-09-30,-70,0.0,-230.0,-110.0,762.0
24,2014-10-01,-30,110.0,-40.0,-40.0,-2172.0
25,2014-10-02,-250,0.0,-340.0,-80.0,7456.0
26,2014-10-03,-80,150.0,-330.0,-130.0,-1120.0
27,2014-10-06,240,70.0,-110.0,20.0,-1749.0
28,2014-10-07,-130,110.0,-60.0,-20.0,-4392.0
29,2014-10-08,-310,110.0,-60.0,80.0,5048.0
30,2014-10-09,90,40.0,-260.0,-210.0,-3984.0
31,2014-10-10,-220,30.0,-130.0,20.0,5005.0
32,2014-10-14,-200,110.0,-290.0,110.0,5746.0
33,2014-10-15,-340,130.0,-40.0,80.0,-8207.0
34,2014-10-16,-450,100.0,-40.0,40.0,2300.0
35,2014-10-17,40,10.0,-310.0,-310.0,-917.0
36,2014-10-20,600,50.0,-190.0,30.0,-1078.0
37,2014-10-21,-20,0.0,-360.0,-260.0,-1974.0
38,2014-10-22,450,0.0,-240.0,-90.0,924.0
39,2014-10-23,-50,130.0,-70.0,40.0,-2730.0
40,2014-10-24,300,0.0,-240.0,-170.0,5854.0
41,2014-10-27,170,10.0,-90.0,0.0,-2286.0
42,2014-10-28,-110,70.0,-80.0,-30.0,-3149.0
43,2014-10-29,150,210.0,-30.0,110.0,1857.0
44,2014-10-30,100,120.0,-50.0,120.0,-454.0
45,2014-10-31,130,790.0,-80.0,660.0,12687.0
46,2014-11-04,1130,0.0,-450.0,-400.0,-5017.0
47,2014-11-05,-210,460.0,0.0,430.0,-5818.0
48,2014-11-06,100,0.0,-490.0,-340.0,-405.0
49,2014-11-07,140,90.0,-110.0,-40.0,-1395.0
