,Date,Open,High,Low,Close,Volume
0,2015-10-20,0,0.0,-41.0,-35.0,0.0
1,2015-10-21,40,56.0,-60.0,-56.0,2671.0
2,2015-10-22,22,0.0,-25.0,-20.0,-3229.0
3,2015-10-23,40,0.0,-30.0,-18.0,130.0
4,2015-10-26,38,12.0,-50.0,11.0,-81.0
5,2015-10-27,-56,21.0,0.0,21.0,1181.0
6,2015-10-28,-1,8.0,-1.0,8.0,-1629.0
7,2015-10-29,38,59.0,-31.0,-4.0,1559.0
8,2015-10-30,35,28.0,-84.0,-67.0,5880.0
9,2015-11-02,0,0.0,-31.0,-20.0,-5074.0
10,2015-11-04,26,0.0,-47.0,-33.0,4775.0
11,2015-11-05,0,9.0,-1.0,7.0,-3744.0
12,2015-11-06,0,2.0,-3.0,2.0,-3405.0
13,2015-11-09,3,0.0,-17.0,-6.0,3206.0
14,2015-11-10,-5,7.0,-12.0,7.0,-3117.0
15,2015-11-11,0,1.0,-13.0,0.0,-596.0
16,2015-11-12,0,10.0,-6.0,-6.0,925.0
17,2015-11-13,10,0.0,-10.0,-5.0,-850.0
18,2015-11-16,2,0.0,-4.0,-2.0,623.0
19,2015-11-17,17,8.0,-19.0,7.0,-252.0
20,2015-11-18,1,0.0,-7.0,-4.0,-585.0
21,2015-11-19,4,0.0,-7.0,0.0,861.0
22,2015-11-20,1,12.0,-10.0,12.0,-245.0
23,2015-11-24,31,0.0,-44.0,-34.0,-270.0
24,2015-11-25,13,2.0,-13.0,-2.0,-162.0
25,2015-11-26,23,0.0,-33.0,-22.0,-26.0
26,2015-11-27,7,1.0,-14.0,-14.0,-66.0
27,2015-11-30,0,29.0,0.0,7.0,21.0
28,2015-12-01,19,3.0,-26.0,3.0,137.0
29,2015-12-02,-4,2.0,-30.0,-30.0,570.0
30,2015-12-03,15,0.0,-45.0,-9.0,-213.0
31,2015-12-04,-1,4.0,-5.0,4.0,-508.0
32,2015-12-07,3,0.0,-13.0,-13.0,1732.0
33,2015-12-08,8,0.0,-20.0,-2.0,-1015.0
34,2015-12-09,2,0.0,-16.0,-11.0,-616.0
35,2015-12-10,4,0.0,-21.0,-13.0,69.0
36,2015-12-11,6,2.0,-23.0,-18.0,475.0
37,2015-12-14,-5,23.0,-8.0,1.0,-314.0
38,2015-12-15,22,0.0,-47.0,-43.0,1530.0
39,2015-12-16,19,1.0,-11.0,-7.0,-1801.0
40,2015-12-17,18,10.0,-19.0,10.0,152.0
41,2015-12-18,2,24.0,-8.0,24.0,740.0
42,2015-12-21,11,0.0,-42.0,-22.0,99.0
43,2015-12-22,23,1.0,-27.0,-17.0,-301.0
44,2015-12-24,9,0.0,-22.0,-15.0,2038.0
45,2015-12-25,7,0.0,-17.0,-11.0,-1235.0
46,2015-12-28,47,1.0,-51.0,-41.0,3914.0
47,2015-12-29,26,0.0,-26.0,-22.0,-5013.0
48,2015-12-30,3,1.0,-11.0,1.0,-317.0
49,2016-01-04,18,6.0,-23.0,-1.0,297.0
50,2016-01-05,4,0.0,-68.0,-56.0,5995.0
51,2016-01-06,4,17.0,-9.0,-3.0,-5287.0
52,2016-01-07,9,0.0,-26.0,-20.0,-387.0
53,2016-01-08,8,0.0,-29.0,-29.0,1554.0
54,2016-01-12,0,19.0,-9.0,19.0,-879.0
55,2016-01-13,9,16.0,-7.0,-7.0,-1238.0
56,2016-01-14,9,0.0,-38.0,-9.0,609.0
57,2016-01-15,5,7.0,-25.0,-25.0,-511.0
58,2016-01-18,29,1.0,-18.0,-1.0,-94.0
59,2016-01-19,10,0.0,-85.0,-65.0,4554.0
60,2016-01-20,39,6.0,-62.0,-59.0,-1266.0
61,2016-01-21,10,31.0,-38.0,31.0,-2541.0
62,2016-01-22,-11,7.0,-44.0,-24.0,-115.0
63,2016-01-25,31,0.0,-37.0,-10.0,-220.0
64,2016-01-26,16,4.0,-17.0,4.0,-496.0
65,2016-01-27,0,17.0,0.0,17.0,640.0
66,2016-01-28,8,0.0,-35.0,-18.0,-66.0
67,2016-01-29,0,91.0,-5.0,38.0,416.0
68,2016-02-01,213,2.0,-118.0,-80.0,3885.0
69,2016-02-02,11,1.0,-72.0,-59.0,-1866.0
70,2016-02-03,-30,50.0,-19.0,50.0,-1963.0
71,2016-02-04,0,23.0,-21.0,4.0,-785.0
72,2016-02-05,26,0.0,-54.0,-51.0,-121.0
73,2016-02-08,1,21.0,-10.0,8.0,204.0
74,2016-02-09,-11,16.0,-33.0,-32.0,363.0
75,2016-02-10,27,0.0,-97.0,-67.0,966.0
76,2016-02-12,-35,83.0,-10.0,82.0,-1104.0
77,2016-02-15,39,9.0,-71.0,-38.0,2270.0
78,2016-02-16,5,52.0,-5.0,30.0,-2145.0
79,2016-02-17,-30,31.0,-7.0,3.0,540.0
80,2016-02-18,9,17.0,-23.0,-18.0,-1319.0
81,2016-02-19,-17,65.0,-5.0,65.0,662.0
82,2016-02-22,9,5.0,-16.0,-8.0,330.0
83,2016-02-23,17,0.0,-31.0,-23.0,1247.0
84,2016-02-24,14,20.0,-50.0,20.0,-1988.0
85,2016-02-25,-38,69.0,0.0,69.0,123.0
86,2016-02-26,-1,22.0,-19.0,-3.0,700.0
87,2016-02-29,-6,11.0,-10.0,-10.0,-146.0
88,2016-03-01,0,18.0,-12.0,7.0,-702.0
89,2016-03-02,3,15.0,-9.0,15.0,731.0
90,2016-03-03,-21,28.0,-14.0,-5.0,240.0
91,2016-03-04,7,30.0,-39.0,-31.0,769.0
92,2016-03-07,22,0.0,-47.0,-24.0,-1140.0
93,2016-03-08,2,34.0,0.0,28.0,-215.0
94,2016-03-09,3,0.0,-31.0,-20.0,-631.0
95,2016-03-10,13,4.0,-2.0,0.0,5.0
96,2016-03-11,0,11.0,-13.0,1.0,68.0
97,2016-03-14,34,0.0,-52.0,-21.0,269.0
98,2016-03-15,21,0.0,-44.0,-21.0,295.0
99,2016-03-16,0,0.0,-37.0,-3.0,373.0
100,2016-03-17,6,1.0,-7.0,-7.0,-1022.0
101,2016-03-18,0,4.0,-9.0,4.0,231.0
102,2016-03-22,2,33.0,-5.0,31.0,418.0
103,2016-03-23,4,10.0,-1.0,-1.0,-566.0
104,2016-03-24,15,0.0,-50.0,-41.0,608.0
105,2016-03-25,7,0.0,-16.0,-10.0,-708.0
106,2016-03-28,8,0.0,-15.0,-15.0,663.0
107,2016-03-29,32,0.0,-32.0,-22.0,-485.0
108,2016-03-30,-1,8.0,0.0,8.0,31.0
109,2016-03-31,7,71.0,-22.0,-8.0,2359.0
110,2016-04-01,-1,0.0,-34.0,-1.0,-21.0
111,2016-04-04,-7,34.0,-10.0,11.0,-1640.0
112,2016-04-05,18,13.0,-35.0,9.0,-793.0
113,2016-04-06,3,7.0,-31.0,-2.0,-21.0
114,2016-04-07,1,44.0,-29.0,-18.0,50216.0
115,2016-04-08,17,0.0,-32.0,-24.0,-47384.0
116,2016-04-11,17,4.0,-41.0,4.0,-2615.0
117,2016-04-12,-1,0.0,-12.0,-1.0,-141.0
118,2016-04-13,-4,19.0,-3.0,-3.0,30.0
119,2016-04-14,15,0.0,-16.0,-1.0,-175.0
120,2016-04-15,0,4.0,-15.0,4.0,-11.0
121,2016-04-18,-6,0.0,-46.0,-46.0,8064.0
122,2016-04-19,15,2.0,-10.0,-10.0,-6553.0
123,2016-04-20,20,0.0,-19.0,-19.0,-536.0
124,2016-04-21,2,31.0,0.0,31.0,-538.0
125,2016-04-22,8,20.0,-8.0,20.0,-274.0
126,2016-04-25,17,12.0,-13.0,12.0,64.0
127,2016-04-26,11,30.0,-27.0,-25.0,86831.0
128,2016-04-27,11,11.0,-41.0,-37.0,-30758.0
129,2016-04-28,29,49.0,-58.0,-41.0,-47939.0
130,2016-05-02,23,0.0,-43.0,-42.0,-2409.0
131,2016-05-06,22,38.0,-6.0,1.0,-5792.0
132,2016-05-09,-8,13.0,0.0,13.0,542.0
133,2016-05-10,22,29.0,-38.0,10.0,379.0
134,2016-05-11,0,0.0,-50.0,-45.0,758.0
135,2016-05-12,0,6.0,-18.0,-11.0,1467.0
136,2016-05-13,-2,13.0,-5.0,3.0,-2965.0
137,2016-05-16,11,0.0,-2.0,0.0,-425.0
138,2016-05-17,10,17.0,-24.0,-18.0,942.0
139,2016-05-18,-7,5.0,-11.0,-3.0,223.0
140,2016-05-19,39,0.0,-45.0,-10.0,-705.0
141,2016-05-20,3,2.0,-18.0,2.0,568.0
142,2016-05-23,5,0.0,-25.0,-6.0,2447.0
143,2016-05-24,-9,7.0,-8.0,4.0,-2804.0
144,2016-05-25,-1,4.0,-33.0,-3.0,-313.0
145,2016-05-26,3,6.0,-6.0,6.0,427.0
146,2016-05-27,-1,0.0,-31.0,-3.0,-194.0
147,2016-05-30,-5,0.0,-44.0,-44.0,2078.0
