,Date,Open,High,Low,Close,Volume
0,2010-07-02,0,30.0,-155.0,-150.0,0.0
1,2010-07-05,35,20.0,-10.0,5.0,-5415.0
2,2010-07-06,-20,5.0,-55.0,-55.0,3361.0
3,2010-07-07,0,10.0,-35.0,-5.0,10328.0
4,2010-07-08,40,15.0,-5.0,5.0,-30531.0
5,2010-07-09,0,10.0,-15.0,0.0,1084.0
6,2010-07-12,55,0.0,-35.0,-5.0,2066.0
7,2010-07-13,-20,30.0,-30.0,-10.0,20669.0
8,2010-07-14,40,0.0,-30.0,-20.0,-9209.0
9,2010-07-15,-10,0.0,-30.0,-10.0,-15704.0
10,2010-07-16,-25,5.0,-40.0,-25.0,7651.0
11,2010-07-20,-50,5.0,-25.0,-20.0,49159.0
12,2010-07-21,40,0.0,-45.0,-40.0,-49386.0
13,2010-07-22,0,0.0,-25.0,-20.0,2011.0
14,2010-07-23,45,5.0,-20.0,-20.0,-13095.0
15,2010-07-26,20,10.0,-5.0,10.0,-7484.0
16,2010-07-27,-40,0.0,-10.0,-5.0,10287.0
17,2010-07-28,-20,15.0,-15.0,-5.0,10875.0
18,2010-07-29,-10,5.0,-10.0,-5.0,3011.0
19,2010-07-30,-5,0.0,-25.0,-5.0,-1970.0
20,2010-08-02,40,0.0,-20.0,-5.0,-10511.0
21,2010-08-03,0,5.0,-15.0,-5.0,-7920.0
22,2010-08-04,0,0.0,-20.0,-20.0,7081.0
23,2010-08-05,50,0.0,-20.0,-5.0,-5148.0
24,2010-08-06,-20,25.0,-15.0,20.0,4677.0
25,2010-08-09,-10,10.0,-5.0,10.0,-4152.0
26,2010-08-10,10,0.0,-20.0,-10.0,9200.0
27,2010-08-11,-5,0.0,-20.0,-15.0,142.0
28,2010-08-12,-5,10.0,-15.0,10.0,-3228.0
29,2010-08-13,55,10.0,-10.0,10.0,3351.0
30,2010-08-16,-5,15.0,-10.0,15.0,66590.0
31,2010-08-17,-5,0.0,-10.0,0.0,-66510.0
32,2010-08-18,5,5.0,-15.0,0.0,-7792.0
33,2010-08-19,10,10.0,-10.0,5.0,-2097.0
34,2010-08-20,-5,5.0,-10.0,0.0,-4591.0
35,2010-08-23,-5,5.0,-15.0,-5.0,-1686.0
36,2010-08-24,-20,0.0,-20.0,-10.0,8577.0
37,2010-08-25,0,5.0,-15.0,5.0,7009.0
38,2010-08-26,40,0.0,-15.0,-5.0,-10260.0
39,2010-08-27,-20,10.0,-15.0,5.0,1184.0
40,2010-08-30,25,5.0,-15.0,-15.0,7512.0
41,2010-08-31,-5,0.0,-30.0,-30.0,-6128.0
42,2010-09-01,40,10.0,-20.0,10.0,-1524.0
43,2010-09-02,-5,0.0,-15.0,-5.0,-6306.0
44,2010-09-03,5,5.0,-5.0,-5.0,-1654.0
45,2010-09-06,10,0.0,-20.0,-10.0,11815.0
46,2010-09-07,-10,15.0,0.0,10.0,-5468.0
47,2010-09-08,0,5.0,-10.0,0.0,1319.0
48,2010-09-09,-5,5.0,-10.0,-10.0,1746.0
49,2010-09-10,-5,15.0,-5.0,5.0,-1620.0
50,2010-09-13,5,0.0,-15.0,-10.0,-5550.0
51,2010-09-14,-5,0.0,-10.0,0.0,2850.0
52,2010-09-15,20,80.0,-5.0,55.0,71033.0
53,2010-09-16,25,25.0,-10.0,-10.0,-58285.0
54,2010-09-17,35,40.0,-10.0,40.0,15811.0
55,2010-09-21,-5,0.0,-20.0,-15.0,-15489.0
56,2010-09-22,10,0.0,-15.0,-5.0,11428.0
57,2010-09-24,0,20.0,-5.0,15.0,-1424.0
58,2010-09-27,-10,5.0,-10.0,0.0,-18325.0
59,2010-09-28,-15,0.0,-15.0,-5.0,7660.0
60,2010-09-29,25,5.0,-15.0,-10.0,1804.0
61,2010-09-30,10,0.0,-25.0,-25.0,2103.0
62,2010-10-01,15,5.0,-10.0,5.0,-19053.0
63,2010-10-04,25,5.0,-15.0,-5.0,22629.0
64,2010-10-05,0,10.0,-10.0,-5.0,-12872.0
65,2010-10-06,35,45.0,0.0,30.0,11030.0
66,2010-10-07,5,10.0,-15.0,0.0,8391.0
67,2010-10-08,-70,10.0,-15.0,5.0,-14996.0
68,2010-10-12,55,0.0,-40.0,-35.0,-945.0
69,2010-10-13,0,20.0,-10.0,5.0,-11184.0
70,2010-10-14,55,0.0,-20.0,-10.0,18351.0
71,2010-10-15,0,20.0,0.0,5.0,-16472.0
72,2010-10-18,-20,0.0,-35.0,-25.0,10588.0
73,2010-10-19,20,5.0,-10.0,0.0,-13037.0
74,2010-10-20,-100,30.0,0.0,25.0,21713.0
75,2010-10-21,15,10.0,-20.0,-15.0,-2786.0
76,2010-10-22,-35,5.0,-15.0,-10.0,1609.0
77,2010-10-25,25,0.0,-20.0,-15.0,35632.0
78,2010-10-26,5,0.0,-15.0,-10.0,-47700.0
79,2010-10-27,40,5.0,-20.0,-5.0,-9585.0
80,2010-10-28,-20,5.0,-10.0,0.0,-700.0
81,2010-10-29,10,0.0,-25.0,-20.0,13568.0
82,2010-11-01,45,20.0,-10.0,0.0,5247.0
83,2010-11-02,-15,10.0,-5.0,10.0,-2919.0
84,2010-11-04,5,10.0,-10.0,-5.0,15468.0
85,2010-11-05,70,20.0,0.0,15.0,-4512.0
86,2010-11-08,40,0.0,-30.0,-20.0,-21461.0
87,2010-11-09,35,5.0,-10.0,5.0,34256.0
88,2010-11-10,-5,15.0,-10.0,15.0,1626.0
89,2010-11-11,20,25.0,-10.0,25.0,-31113.0
90,2010-11-12,5,0.0,-70.0,-70.0,22086.0
91,2010-11-15,-35,30.0,0.0,0.0,-807.0
92,2010-11-16,5,15.0,-5.0,5.0,-16754.0
93,2010-11-17,-45,10.0,-5.0,10.0,85314.0
94,2010-11-18,-5,35.0,-5.0,30.0,-7483.0
95,2010-11-19,40,0.0,-35.0,-30.0,-63343.0
96,2010-11-22,25,5.0,-20.0,5.0,-22319.0
97,2010-11-24,10,20.0,-5.0,10.0,22806.0
98,2010-11-25,10,0.0,-25.0,-10.0,-15299.0
99,2010-11-26,0,20.0,0.0,10.0,-2314.0
100,2010-11-29,-15,10.0,-20.0,-5.0,1073.0
101,2010-11-30,20,10.0,-15.0,-10.0,11442.0
102,2010-12-01,35,15.0,-5.0,15.0,22157.0
103,2010-12-02,20,5.0,-10.0,5.0,-23091.0
104,2010-12-03,-25,10.0,-10.0,5.0,-8908.0
105,2010-12-06,15,10.0,-10.0,10.0,8141.0
106,2010-12-07,10,5.0,-25.0,-10.0,47713.0
107,2010-12-08,-5,5.0,-25.0,-10.0,22717.0
108,2010-12-09,-10,0.0,-15.0,-5.0,-41750.0
109,2010-12-10,0,5.0,-5.0,0.0,-25717.0
110,2010-12-13,0,20.0,-10.0,20.0,-2659.0
111,2010-12-14,-5,15.0,-5.0,10.0,-2859.0
112,2010-12-15,-5,5.0,-10.0,-5.0,16380.0
113,2010-12-16,-10,0.0,-15.0,0.0,10703.0
114,2010-12-17,-40,10.0,-15.0,10.0,-3078.0
115,2010-12-20,5,15.0,0.0,10.0,13968.0
116,2010-12-21,0,0.0,-10.0,-5.0,-32880.0
117,2010-12-22,10,10.0,-5.0,5.0,14394.0
118,2010-12-24,-55,15.0,-5.0,5.0,90322.0
119,2010-12-27,-30,30.0,-10.0,25.0,-55189.0
120,2010-12-28,0,5.0,-10.0,5.0,-44667.0
121,2010-12-29,30,0.0,-15.0,-5.0,-14646.0
122,2010-12-30,-15,0.0,-15.0,0.0,42414.0
123,2011-01-04,15,25.0,-5.0,25.0,-43325.0
124,2011-01-05,-85,0.0,-15.0,-5.0,95259.0
125,2011-01-06,15,20.0,-5.0,5.0,-4348.0
126,2011-01-07,-10,10.0,-5.0,0.0,-76460.0
127,2011-01-11,-5,15.0,-5.0,15.0,-15402.0
128,2011-01-12,25,5.0,-5.0,-5.0,32432.0
129,2011-01-13,10,0.0,-10.0,0.0,-8047.0
130,2011-01-14,-40,0.0,-15.0,-5.0,16436.0
131,2011-01-17,-20,0.0,-10.0,-5.0,-13435.0
132,2011-01-18,-10,5.0,-10.0,0.0,-19933.0
133,2011-01-19,15,10.0,-15.0,-10.0,28890.0
134,2011-01-20,-5,0.0,-15.0,-10.0,-11986.0
135,2011-01-21,-15,0.0,-15.0,-5.0,-15670.0
136,2011-01-24,-15,25.0,-10.0,25.0,27989.0
137,2011-01-25,-50,0.0,-30.0,-20.0,16396.0
138,2011-01-26,-5,5.0,-10.0,-5.0,-18808.0
139,2011-01-27,25,10.0,0.0,10.0,-21936.0
140,2011-01-28,-45,0.0,-30.0,-25.0,55862.0
141,2011-01-31,70,5.0,-45.0,-40.0,5459.0
142,2011-02-01,5,5.0,-10.0,5.0,-44830.0
143,2011-02-02,-5,0.0,-15.0,-10.0,-5577.0
144,2011-02-03,0,5.0,-10.0,0.0,-13143.0
145,2011-02-04,30,20.0,0.0,15.0,17678.0
146,2011-02-07,5,25.0,0.0,25.0,-8916.0
147,2011-02-08,10,0.0,-10.0,0.0,-13646.0
148,2011-02-09,30,10.0,-5.0,0.0,22370.0
149,2011-02-10,15,0.0,-20.0,-15.0,-15345.0
150,2011-02-14,25,5.0,-10.0,-10.0,5307.0
151,2011-02-15,20,15.0,-5.0,10.0,6523.0
152,2011-02-16,35,20.0,0.0,20.0,-7131.0
153,2011-02-17,0,5.0,-15.0,5.0,-2679.0
154,2011-02-18,0,0.0,-10.0,-5.0,7317.0
155,2011-02-21,5,10.0,-10.0,10.0,15108.0
