,Date,Open,High,Low,Close,Volume
0,2002-12-02,0,240.0,-40.0,210.0,0.0
1,2002-12-03,10,190.0,-50.0,-30.0,-8643300.0
2,2002-12-04,-150,110.0,-70.0,50.0,-4415900.0
3,2002-12-05,10,20.0,-150.0,-150.0,-6200.0
4,2002-12-06,-60,10.0,-90.0,-60.0,-639400.0
5,2002-12-09,-100,10.0,-140.0,-140.0,640000.0
6,2002-12-10,-100,210.0,-90.0,170.0,1730900.0
7,2002-12-11,0,20.0,-220.0,-170.0,-1208700.0
8,2002-12-12,-30,30.0,-50.0,20.0,-955700.0
9,2002-12-13,0,10.0,-110.0,-110.0,1116300.0
10,2002-12-16,10,90.0,-50.0,-30.0,-1506800.0
11,2002-12-17,350,80.0,-180.0,-140.0,4671000.0
12,2002-12-18,-70,10.0,-180.0,-140.0,-3220800.0
13,2002-12-19,-20,170.0,-30.0,170.0,1119600.0
14,2002-12-20,50,70.0,-40.0,20.0,-1456500.0
15,2002-12-24,70,20.0,-60.0,-50.0,-1448200.0
16,2002-12-25,0,40.0,-40.0,40.0,-423600.0
17,2002-12-26,50,0.0,-100.0,-80.0,361500.0
18,2002-12-27,-10,60.0,-50.0,40.0,-87200.0
19,2002-12-30,-50,40.0,-30.0,20.0,-750700.0
20,2003-01-06,70,0.0,-40.0,-20.0,97500.0
21,2003-01-07,30,10.0,-190.0,-190.0,883400.0
22,2003-01-08,-20,70.0,-190.0,-170.0,304600.0
23,2003-01-09,-50,130.0,-110.0,-40.0,521800.0
24,2003-01-10,80,0.0,-120.0,-100.0,-26900.0
25,2003-01-14,-20,60.0,-10.0,30.0,-630200.0
26,2003-01-15,30,290.0,-50.0,250.0,1506400.0
27,2003-01-16,100,140.0,-70.0,-60.0,5762800.0
28,2003-01-17,-20,120.0,-140.0,70.0,-3936700.0
29,2003-01-20,40,110.0,-50.0,40.0,-1205300.0
30,2003-01-21,-20,120.0,-30.0,110.0,-1530400.0
31,2003-01-22,50,60.0,-50.0,-10.0,1097400.0
32,2003-01-23,40,70.0,-100.0,70.0,-893000.0
33,2003-01-24,0,100.0,-30.0,-20.0,563500.0
34,2003-01-27,-50,60.0,-50.0,-30.0,-1433600.0
35,2003-01-28,-90,40.0,-30.0,10.0,-240600.0
36,2003-01-29,-50,20.0,-130.0,-90.0,573300.0
37,2003-01-30,-30,20.0,-70.0,-20.0,-277400.0
38,2003-01-31,-50,100.0,-50.0,100.0,68400.0
39,2003-02-03,0,200.0,-40.0,170.0,-16100.0
40,2003-02-04,50,50.0,-70.0,-60.0,52100.0
41,2003-02-05,0,80.0,-60.0,10.0,-227000.0
42,2003-02-06,20,40.0,-70.0,-50.0,-331700.0
43,2003-02-07,10,20.0,-50.0,-10.0,-521800.0
44,2003-02-10,-50,40.0,-20.0,10.0,282900.0
45,2003-02-12,30,70.0,-30.0,70.0,1029100.0
46,2003-02-13,20,180.0,-10.0,130.0,3697200.0
47,2003-02-14,50,60.0,-70.0,-50.0,-2173500.0
48,2003-02-17,10,0.0,-340.0,-300.0,4900000.0
49,2003-02-18,-50,10.0,-310.0,-260.0,4030700.0
50,2003-02-19,-10,10.0,-130.0,-110.0,2146600.0
51,2003-02-20,-90,100.0,-250.0,-100.0,22878100.0
52,2003-02-21,80,70.0,-100.0,-70.0,-18004000.0
53,2003-02-24,-50,140.0,-30.0,80.0,-11272500.0
54,2003-02-25,-50,40.0,-110.0,-110.0,-2576500.0
55,2003-02-26,-30,30.0,-110.0,-100.0,3831600.0
56,2003-02-27,-70,100.0,-80.0,70.0,3951800.0
57,2003-02-28,-10,20.0,-100.0,-100.0,-6448400.0
58,2003-03-03,-40,10.0,-120.0,-100.0,177500.0
59,2003-03-04,70,100.0,-60.0,70.0,3164400.0
60,2003-03-05,-10,60.0,-40.0,-30.0,-582400.0
61,2003-03-06,30,30.0,-80.0,-80.0,-4120300.0
62,2003-03-07,-30,20.0,-50.0,-50.0,-1853400.0
63,2003-03-10,-90,10.0,-190.0,-170.0,4569000.0
64,2003-03-11,-200,90.0,-70.0,-70.0,8325500.0
65,2003-03-12,40,110.0,-40.0,110.0,-3880200.0
66,2003-03-13,90,30.0,-80.0,-70.0,-4860600.0
67,2003-03-14,120,20.0,-80.0,-70.0,-467600.0
68,2003-03-17,-40,10.0,-120.0,-110.0,-2139000.0
69,2003-03-18,150,10.0,-100.0,-60.0,-661500.0
70,2003-03-19,-70,150.0,-30.0,140.0,1781500.0
71,2003-03-20,30,80.0,-30.0,40.0,501600.0
72,2003-03-24,80,10.0,-90.0,-10.0,-2043700.0
73,2003-03-25,-120,60.0,-60.0,-60.0,-385000.0
74,2003-03-26,40,10.0,-40.0,-30.0,-2175900.0
75,2003-03-27,10,90.0,-10.0,50.0,1194300.0
76,2003-03-28,20,10.0,-90.0,-80.0,-226500.0
77,2003-03-31,-40,0.0,-100.0,-100.0,-334900.0
78,2003-04-01,-40,30.0,-80.0,-70.0,3768200.0
79,2003-04-02,10,10.0,-160.0,-150.0,3688000.0
80,2003-04-03,30,10.0,-180.0,-170.0,1273000.0
81,2003-04-04,-60,160.0,-50.0,130.0,5121500.0
82,2003-04-07,-10,160.0,-30.0,140.0,-7545500.0
83,2003-04-08,-80,30.0,-70.0,-60.0,-2157100.0
84,2003-04-09,-20,90.0,-10.0,30.0,-1827300.0
85,2003-04-10,0,30.0,-40.0,0.0,-2621700.0
86,2003-04-11,-30,180.0,0.0,180.0,8485000.0
87,2003-04-14,-20,10.0,-120.0,-110.0,-5676200.0
88,2003-04-15,30,40.0,-40.0,40.0,-389600.0
89,2003-04-16,30,10.0,-60.0,-60.0,-833900.0
90,2003-04-17,0,60.0,-20.0,60.0,-685900.0
91,2003-04-18,20,30.0,-40.0,-10.0,-63400.0
92,2003-04-21,-10,10.0,-40.0,-10.0,-1078600.0
93,2003-04-22,-10,0.0,-110.0,-90.0,710700.0
94,2003-04-23,10,0.0,-60.0,-50.0,-70800.0
95,2003-04-24,20,30.0,-60.0,-20.0,1249400.0
96,2003-04-25,-30,20.0,-50.0,-40.0,-655900.0
97,2003-04-28,-50,10.0,-30.0,-10.0,-1330000.0
98,2003-04-30,60,230.0,-10.0,170.0,9511000.0
99,2003-05-01,30,190.0,-10.0,60.0,7569300.0
100,2003-05-02,-120,120.0,-20.0,110.0,-11150100.0
101,2003-05-06,60,30.0,-80.0,-40.0,-2275300.0
102,2003-05-07,30,30.0,-30.0,-20.0,-1105500.0
103,2003-05-08,10,40.0,-20.0,0.0,-641500.0
104,2003-05-09,0,20.0,-40.0,0.0,-1243200.0
105,2003-05-12,60,10.0,-40.0,-30.0,642600.0
106,2003-05-13,10,100.0,-10.0,90.0,3333300.0
107,2003-05-14,-20,50.0,-30.0,30.0,-2142200.0
108,2003-05-15,0,0.0,-90.0,-90.0,-976200.0
109,2003-05-16,-20,40.0,-10.0,10.0,-785700.0
110,2003-05-19,-70,60.0,-40.0,-30.0,1675600.0
111,2003-05-20,-60,10.0,-100.0,-40.0,2377600.0
112,2003-05-21,30,80.0,-10.0,80.0,-1399500.0
113,2003-05-22,20,50.0,-20.0,10.0,-1147400.0
114,2003-05-23,20,10.0,-50.0,-40.0,-1797600.0
115,2003-05-26,40,90.0,-10.0,40.0,2075500.0
116,2003-05-27,-30,60.0,-30.0,-20.0,60000.0
117,2003-05-28,40,20.0,-30.0,20.0,-1893800.0
118,2003-05-29,-50,20.0,-70.0,-50.0,300500.0
119,2003-05-30,10,40.0,0.0,30.0,-1233800.0
120,2003-06-02,50,10.0,-40.0,-30.0,314100.0
121,2003-06-03,30,10.0,-30.0,-30.0,-112500.0
122,2003-06-04,10,160.0,0.0,130.0,8407200.0
123,2003-06-05,160,70.0,-20.0,60.0,5939900.0
124,2003-06-06,-40,140.0,0.0,130.0,-3241400.0
125,2003-06-09,40,100.0,-40.0,30.0,-587800.0
126,2003-06-10,-80,50.0,-20.0,50.0,-6982900.0
127,2003-06-11,80,20.0,-80.0,-60.0,1364200.0
128,2003-06-12,70,70.0,-30.0,50.0,4794700.0
129,2003-06-13,30,80.0,-50.0,40.0,1095300.0
130,2003-06-16,-10,0.0,-80.0,-80.0,-8602100.0
131,2003-06-17,90,20.0,-50.0,-30.0,1166100.0
132,2003-06-18,30,50.0,-20.0,20.0,1862300.0
133,2003-06-19,30,0.0,-220.0,-170.0,3906400.0
134,2003-06-20,-40,80.0,-20.0,50.0,-3542600.0
135,2003-06-23,20,50.0,-30.0,40.0,-1951800.0
136,2003-06-24,-80,40.0,-50.0,-40.0,-1769300.0
137,2003-06-25,0,50.0,-50.0,20.0,-649100.0
138,2003-06-26,-30,70.0,-40.0,70.0,774200.0
139,2003-06-27,30,10.0,-60.0,-40.0,-1531300.0
140,2003-06-30,10,90.0,-20.0,30.0,2033000.0
141,2003-07-01,10,150.0,-10.0,140.0,6247600.0
142,2003-07-02,120,130.0,-20.0,90.0,12304900.0
143,2003-07-03,240,10.0,-380.0,-330.0,-5409000.0
144,2003-07-04,-40,150.0,-40.0,150.0,-8570600.0
145,2003-07-07,10,130.0,-10.0,90.0,1000600.0
146,2003-07-08,100,40.0,-110.0,-40.0,1581500.0
147,2003-07-09,0,10.0,-130.0,-40.0,-6086700.0
148,2003-07-10,0,100.0,-60.0,40.0,300500.0
149,2003-07-11,-90,40.0,-20.0,-10.0,-95800.0
150,2003-07-14,30,10.0,-70.0,-60.0,-3569300.0
151,2003-07-15,50,100.0,-40.0,-10.0,7267300.0
152,2003-07-16,20,20.0,-60.0,-10.0,-3858200.0
153,2003-07-17,-60,10.0,-130.0,-130.0,-254100.0
154,2003-07-18,-40,90.0,-20.0,60.0,-2307700.0
155,2003-07-22,-30,20.0,-60.0,-20.0,-1021700.0
156,2003-07-23,30,30.0,-60.0,-40.0,2126100.0
157,2003-07-24,40,170.0,0.0,140.0,6885300.0
158,2003-07-25,-30,120.0,-50.0,110.0,-2109200.0
159,2003-07-28,50,20.0,-140.0,-90.0,-3693800.0
160,2003-07-29,10,30.0,-30.0,-20.0,-2054400.0
161,2003-07-30,-40,50.0,-20.0,-10.0,34700.0
162,2003-07-31,-20,20.0,-70.0,-30.0,-425000.0
163,2003-08-01,20,60.0,-50.0,50.0,212300.0
164,2003-08-04,-50,10.0,-40.0,-10.0,-397900.0
165,2003-08-05,30,60.0,-50.0,-20.0,2238100.0
166,2003-08-06,-60,40.0,-40.0,-20.0,-1674600.0
167,2003-08-07,30,0.0,-110.0,-90.0,-553600.0
168,2003-08-08,-20,50.0,-60.0,10.0,149500.0
169,2003-08-11,-10,50.0,-30.0,40.0,-751000.0
170,2003-08-12,40,100.0,-10.0,70.0,2738300.0
171,2003-08-13,100,70.0,-40.0,40.0,6325100.0
172,2003-08-14,20,90.0,-40.0,50.0,58100.0
173,2003-08-15,50,40.0,-70.0,-10.0,-4451400.0
174,2003-08-18,20,190.0,-20.0,190.0,5313700.0
175,2003-08-19,50,120.0,-50.0,-10.0,3905300.0
176,2003-08-20,30,190.0,-80.0,150.0,1210100.0
177,2003-08-21,10,150.0,-70.0,120.0,-2643600.0
178,2003-08-22,40,30.0,-70.0,-40.0,-3656500.0
179,2003-08-25,-10,60.0,-20.0,30.0,-4422500.0
180,2003-08-26,-30,170.0,-50.0,170.0,500800.0
181,2003-08-27,50,90.0,-70.0,-50.0,4621000.0
182,2003-08-28,70,80.0,-50.0,0.0,2399800.0
183,2003-08-29,70,0.0,-80.0,-10.0,-7469900.0
184,2003-09-01,-10,130.0,0.0,130.0,4330900.0
185,2003-09-02,10,330.0,-10.0,220.0,7736800.0
186,2003-09-03,100,250.0,-20.0,220.0,398200.0
187,2003-09-04,10,70.0,-330.0,-310.0,-6842200.0
188,2003-09-05,-50,40.0,-230.0,-170.0,820500.0
189,2003-09-08,-90,330.0,-50.0,290.0,2902700.0
190,2003-09-09,150,60.0,-70.0,-70.0,-5242700.0
191,2003-09-10,-10,230.0,0.0,200.0,5628500.0
192,2003-09-11,-100,120.0,-50.0,30.0,-5882000.0
193,2003-09-12,70,30.0,-120.0,-50.0,-3306300.0
194,2003-09-16,120,360.0,0.0,280.0,18808000.0
195,2003-09-17,100,130.0,-330.0,-330.0,-11023800.0
196,2003-09-18,10,230.0,-10.0,220.0,-4786300.0
197,2003-09-19,160,30.0,-250.0,-170.0,-935500.0
198,2003-09-22,-150,220.0,-90.0,10.0,-121600.0
199,2003-09-24,10,60.0,-350.0,-250.0,339100.0
200,2003-09-25,-200,40.0,-210.0,-140.0,469700.0
201,2003-09-26,-50,300.0,-30.0,260.0,243700.0
202,2003-09-29,100,70.0,-140.0,-60.0,-3589300.0
203,2003-09-30,200,40.0,-280.0,-260.0,6851400.0
204,2003-10-01,100,400.0,-70.0,400.0,4057100.0
205,2003-10-02,300,170.0,-260.0,-210.0,7769300.0
206,2003-10-03,100,150.0,-140.0,90.0,-14294200.0
207,2003-10-06,200,40.0,-140.0,-110.0,1652500.0
208,2003-10-07,30,100.0,-110.0,70.0,663400.0
209,2003-10-08,-70,240.0,-110.0,130.0,4316400.0
210,2003-10-09,70,240.0,-150.0,210.0,1721600.0
211,2003-10-10,40,560.0,-10.0,440.0,8841100.0
212,2003-10-14,30,360.0,0.0,260.0,-5619900.0
