Date,Open,High,Low,Close,Adj Close,Volume
2014-02-06,10640,10640,10510,10530,10530,4915
2014-02-07,10720,10770,10630,10770,10770,2004
2014-02-10,11070,11070,10800,10850,10850,3278
2014-02-12,11080,11080,11000,11040,11040,1831
2014-02-13,11020,11020,10860,10900,10900,3868
2014-02-14,10950,10970,10670,10740,10740,6316
2014-02-17,10770,10790,10630,10780,10780,4433
2014-02-18,10830,11090,10830,11090,11090,3742
2014-02-19,10790,11050,10710,11030,11030,1745
2014-02-20,11000,11010,10790,10820,10820,1530
2014-02-21,10960,11080,10960,11040,11040,899
2014-02-24,11060,11180,10920,11050,11050,1897
2014-02-25,11260,11260,11100,11160,11160,3697
2014-02-26,11100,11150,11070,11090,11090,1065
2014-02-27,11030,11090,10990,11020,11020,595
2014-02-28,11050,11050,10890,10980,10980,983
2014-03-03,10950,10950,10690,10830,10830,3839
2014-03-04,10790,10940,10750,10910,10910,1573
2014-03-05,11010,11060,11000,11010,11010,996
2014-03-06,11030,11150,10990,11120,11120,1551
2014-03-07,11190,11210,11130,11200,11200,1245
2014-03-10,11180,11180,11060,11100,11100,2233
2014-03-11,11110,11180,11100,11170,11170,1010
2014-03-12,11090,11090,10910,10930,10930,3210
2014-03-13,10930,10980,10900,10980,10980,1224
2014-03-14,10790,10790,10510,10570,10570,51424
2014-03-17,10540,10550,10370,10460,10460,6831
2014-03-18,10640,10640,10530,10550,10550,3028
2014-03-19,10620,10670,10480,10570,10570,2817
2014-03-20,10560,10580,10380,10420,10420,5292
2014-03-24,10490,10580,10470,10530,10530,4296
2014-03-25,10500,10590,10440,10560,10560,4918
2014-03-26,10600,10630,10450,10600,10600,20859
2014-03-27,10560,10770,10510,10770,10770,1952
2014-03-28,10760,10830,10660,10820,10820,879
2014-03-31,10950,10980,10890,10950,10950,1299
2014-04-01,10980,11000,10940,11000,11000,644
2014-04-02,11040,11160,11040,11080,11080,880
2014-04-03,11160,11160,11080,11150,11150,10569
2014-04-04,11140,11150,11090,11140,11140,272
2014-04-07,11050,11070,10930,10980,10980,4313
2014-04-08,10950,10950,10760,10800,10800,7576
2014-04-09,10760,10760,10550,10590,10590,10080
2014-04-10,10750,10750,10560,10590,10590,11011
2014-04-11,10450,10550,10360,10450,10450,8760
2014-04-14,10420,10510,10400,10440,10440,2426
2014-04-15,10570,10570,10450,10480,10480,1496
2014-04-16,10600,10740,10500,10740,10740,1409
2014-04-17,10790,10790,10690,10740,10740,1271
2014-04-18,10740,10770,10720,10760,10760,682
