Date,Open,High,Low,Close,Adj Close,Volume
2014-08-26,10010,10020,9890,9890,9890,5396
2014-08-27,9940,9980,9830,9920,9920,5639
2014-08-28,9860,9860,9770,9810,9810,5130
2014-08-29,9760,9800,9680,9770,9770,21116
2014-09-01,9810,9840,9800,9810,9810,4108
2014-09-02,9910,10160,9880,10080,10080,9612
2014-09-03,10240,10280,10130,10130,10130,4914
2014-09-04,10130,10150,10060,10080,10080,9366
2014-09-05,10230,10230,10030,10080,10080,14620
2014-09-08,10140,10140,10050,10100,10100,1367
2014-09-09,10200,10210,10130,10150,10150,1610
2014-09-10,10050,10210,10030,10190,10190,8054
2014-09-11,10350,10370,10290,10340,10340,2281
2014-09-12,10450,10820,10240,10370,10370,2755
2014-09-16,10380,10380,10310,10380,10380,652
2014-09-17,10420,10430,10340,10340,10340,988
2014-09-18,10490,10620,10460,10590,10590,1804
2014-09-19,10740,10980,10730,10900,10900,2132
2014-09-22,10850,10850,10510,10740,10740,2786
2014-09-24,10670,10750,10600,10690,10690,711
2014-09-25,10960,10960,10880,10940,10940,2631
2014-09-26,10780,10930,10760,10900,10900,3143
2014-09-29,11050,11050,10960,11000,11000,2118
2014-09-30,10930,10930,10700,10820,10820,2880
2014-10-01,10790,10900,10750,10750,10750,708
2014-10-02,10500,10500,10160,10420,10420,8164
2014-10-03,10340,10490,10010,10210,10210,7044
2014-10-06,10450,10520,10340,10470,10470,5295
2014-10-07,10340,10450,10280,10320,10320,903
2014-10-08,10010,10120,9950,10090,10090,5951
2014-10-09,10180,10220,9920,9970,9970,1967
2014-10-10,9750,9780,9620,9770,9770,6972
2014-10-14,9570,9680,9280,9680,9680,12718
2014-10-15,9340,9470,9300,9420,9420,4511
2014-10-16,8970,9070,8930,9010,9010,6811
2014-10-17,9050,9060,8740,8740,8740,5894
2014-10-20,9340,9390,9150,9370,9370,4816
2014-10-21,9350,9350,8990,9090,9090,2842
2014-10-22,9540,9540,9300,9450,9450,3766
2014-10-23,9400,9530,9330,9440,9440,1036
2014-10-24,9740,9740,9500,9570,9570,6890
2014-10-27,9740,9750,9650,9740,9740,4604
2014-10-28,9630,9700,9550,9600,9600,1455
2014-10-29,9750,9960,9720,9860,9860,3312
2014-10-30,9960,10080,9910,10080,10080,2858
2014-10-31,10210,11000,10130,10870,10870,15545
2014-11-04,12000,12000,11550,11600,11600,10528
2014-11-05,11390,11850,11390,11820,11820,4710
2014-11-06,11920,11920,11430,11580,11580,4305
2014-11-07,11720,11810,11610,11680,11680,2910
2014-11-10,11540,11560,11430,11540,11540,1994
2014-11-11,11680,12050,11600,12010,12010,5927
2014-11-12,12250,12400,12000,12010,12010,7895
2014-11-13,12160,12400,12000,12210,12210,4735
2014-11-14,12510,12510,12250,12510,12510,4469
2014-11-17,12520,12520,11760,11810,11810,17102
2014-11-18,12150,12180,11900,12120,12120,9195
2014-11-19,12120,12390,12120,12210,12210,3957
2014-11-20,12350,12350,12170,12230,12230,909
2014-11-21,12230,12370,11970,12350,12350,3678
2014-11-25,12480,12520,12360,12400,12400,1647
2014-11-26,12320,12410,12270,12370,12370,547
2014-11-27,12310,12310,12150,12200,12200,1207
2014-11-28,12210,12450,12210,12440,12440,1629
2014-12-01,12490,12720,12490,12650,12650,2525
2014-12-02,12480,12750,12450,12730,12730,1574
2014-12-03,12850,13070,12790,12790,12790,3965
