Date,Open,High,Low,Close,Adj Close,Volume
2008-07-23,14020,14060,14020,14060,14060,2
2008-07-24,14270,14290,14250,14290,14290,7
2008-07-28,13910,13910,13910,13910,13910,5
2008-07-29,13770,13770,13770,13770,13770,1
2008-07-31,13920,13920,13920,13920,13920,1
2008-08-04,13450,13450,13280,13280,13280,2
2008-08-05,13340,13340,13340,13340,13340,1
2008-08-11,14070,14070,14060,14060,14060,18
2008-08-12,14200,14200,14200,14200,14200,1
2008-08-19,13720,13720,13660,13660,13660,5
2008-08-21,13370,13370,13370,13370,13370,1
2008-08-22,13220,13230,13220,13230,13230,6
2008-08-25,13520,13520,13510,13510,13510,77
2008-08-27,13370,13370,13350,13350,13350,3
2008-08-28,13230,13250,13200,13200,13200,8
2008-09-02,13170,13170,12940,12940,12940,6
2008-09-03,13130,13130,13130,13130,13130,1
2008-09-04,12870,12870,12870,12870,12870,5
2008-09-05,12750,12750,12540,12580,12580,5
2008-09-10,12460,12460,12380,12380,12380,5
2008-09-11,12270,12270,12080,12080,12080,3
2008-09-12,12190,12190,12190,12190,12190,1
2008-09-16,11540,11540,11510,11510,11510,5
2008-09-17,11740,11740,11740,11740,11740,1
2008-09-18,11330,11390,11200,11390,11390,9
2008-09-26,11390,11850,11390,11850,11850,2
2008-09-30,11150,11150,11150,11150,11150,5
2008-10-01,11270,11270,11270,11270,11270,1
2008-10-03,10800,10800,10600,10600,10600,8
2008-10-08,8990,8990,8990,8990,8990,1
2008-10-14,9990,9990,9990,9990,9990,1
2008-10-17,8480,8480,8430,8430,8430,2
2008-10-20,8730,8730,8730,8730,8730,1
2008-10-21,9180,9180,9180,9180,9180,1
2008-10-22,8570,8570,8570,8570,8570,1
2008-10-28,7570,7570,7570,7570,7570,41
2008-10-30,8020,8020,8020,8020,8020,40
2008-10-31,8450,8450,8450,8450,8450,20
2008-11-04,8580,8580,8580,8580,8580,1
2008-11-05,9140,9640,9140,9640,9640,2
2008-11-06,8860,8860,8690,8690,8690,12
2008-11-07,8100,8250,8100,8250,8250,13
2008-11-10,8750,8750,8750,8750,8750,5
2008-11-11,8300,8300,8300,8300,8300,3
2008-11-12,8190,8190,8160,8160,8160,2
2008-11-14,7760,7760,7760,7760,7760,1
2008-11-20,7500,7500,7130,7130,7130,43
2008-11-25,7710,7710,7640,7640,7640,6
2008-11-27,7470,7470,7470,7470,7470,1
2008-12-01,7430,7430,7430,7430,7430,5
2008-12-03,7060,7060,7060,7060,7060,1
2008-12-04,6790,6790,6790,6790,6790,1
2008-12-12,7240,7240,7240,7240,7240,10
2008-12-15,7450,7450,7450,7450,7450,10
2008-12-25,7250,7250,7250,7250,7250,1
2009-01-07,8600,8720,8600,8720,8720,21
2009-01-08,8420,8420,8300,8300,8300,12
2009-01-09,8070,8140,8050,8130,8130,24
2009-01-13,7650,7660,7650,7660,7660,11
2009-01-14,7690,7690,7690,7690,7690,1
2009-01-15,7340,7340,7340,7340,7340,1
2009-01-16,7450,7450,7450,7450,7450,1
2009-01-21,7300,7300,7300,7300,7300,1
2009-01-23,7000,7000,7000,7000,7000,1
2009-01-26,6950,6950,6950,6950,6950,1
2009-01-27,7140,7140,7140,7140,7140,1
2009-02-03,6790,6880,6790,6880,6880,11
2009-02-04,7080,7110,7080,7110,7110,3
2009-02-12,6950,6950,6950,6950,6950,10
2009-02-17,6840,6840,6820,6830,6830,12
2009-02-18,6730,6730,6730,6730,6730,1
2009-02-19,6810,6810,6810,6810,6810,1
2009-02-23,6300,6680,6300,6680,6680,12
2009-02-26,7000,7000,7000,7000,7000,10
2009-03-02,6850,6850,6850,6850,6850,3
2009-03-04,6690,6690,6690,6690,6690,4
2009-03-13,6640,6930,6640,6930,6930,10
2009-03-16,7390,7390,7290,7290,7290,9
2009-03-17,7460,7460,7460,7460,7460,1
2009-03-18,7550,7550,7550,7550,7550,1
2009-03-23,7650,7650,7650,7650,7650,6
2009-03-27,8210,8210,8210,8210,8210,1
